dataset,last5daysViews,last30daysViews,allTimeViews,last5daysDownloads,last30daysDownloads,allTimeDownloads,firstReleasedAt,versionID,project,totalViews,totalDownloads
Distribution of dopamine 1 receptor positive neurons in the adolescent female mouse brain,1,2,89,0,0,7,2022-06-30T13:36:38.642Z,https://kg.ebrains.eu/api/instances/764925c2-077f-4cdb-8ec3-d821efccbb57,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),92,7
Distribution of dopamine 1 receptor positive neurons in the adolescent male mouse brain,0,1,75,0,0,6,2022-06-30T13:35:22.618Z,https://kg.ebrains.eu/api/instances/253ec8d2-2441-4e4c-89de-41d52c1fe062,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),76,6
Distribution of dopamine 1 receptor positive neurons in the adult female mouse brain,0,2,177,0,0,30,2022-06-30T13:34:50.953Z,https://kg.ebrains.eu/api/instances/af7e8d6a-6d4b-4923-8022-180fc59b7c45,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),179,30
Distribution of dopamine 1 receptor positive neurons in the adult male mouse brain,1,3,289,0,0,29,2022-06-30T13:28:59.348Z,https://kg.ebrains.eu/api/instances/cb4110a1-40e0-4dce-9242-fa28adb77e4f,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),293,29
Distribution of dopamine 1 receptor positive neurons in the adult male mouse brain,1,16,67,0,0,4,2022-06-30T13:49:37.197Z,https://kg.ebrains.eu/api/instances/e9e4c797-c4e5-4c81-8734-99866723ca0c,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),84,4
Distribution of dopamine 1 receptor positive neurons in the juvenile female mouse brain,0,1,71,0,0,1,2022-06-30T13:42:01.015Z,https://kg.ebrains.eu/api/instances/c9cc8fdc-abb4-49e3-9d26-581af3282870,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),72,1
Distribution of dopamine 1 receptor positive neurons in the juvenile male mouse brain,0,1,55,0,0,4,2022-06-30T13:42:00.810Z,https://kg.ebrains.eu/api/instances/0ee3938f-6366-4834-9021-e75d7943faf4,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),56,4
Distribution of dopamine 1 receptor positive neurons in the late adolescent female mouse brain,0,0,66,0,0,6,2022-06-30T13:35:33.921Z,https://kg.ebrains.eu/api/instances/a00b1faa-b21f-4a95-acd8-9a891df24828,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),66,6
Distribution of dopamine 1 receptor positive neurons in the late adolescent male mouse brain,0,1,66,0,0,7,2022-06-30T13:35:33.170Z,https://kg.ebrains.eu/api/instances/f870bbec-7311-488c-bc8b-129b6011a579,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),67,7
Distribution of dopamine 1 receptor positive neurons in the preadolescent female mouse brain,1,5,95,0,0,2,2022-06-30T13:41:59.821Z,https://kg.ebrains.eu/api/instances/77aa9e4c-fd9c-493c-9af4-0988284ffa95,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),101,2
Distribution of dopamine 1 receptor positive neurons in the preadolescent male mouse brain,1,1,107,0,0,9,2022-06-30T13:41:59.600Z,https://kg.ebrains.eu/api/instances/398e9ad3-b03c-43e2-a25d-e1b022406c79,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),109,9
Distribution of dopamine 2 receptor positive neurons in the adolescent female mouse brain,0,1,37,0,0,1,2022-06-30T13:36:55.473Z,https://kg.ebrains.eu/api/instances/dc7967fd-0158-474c-bfc4-b37d7375a444,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),38,1
Distribution of dopamine 2 receptor positive neurons in the adolescent male mouse brain,1,2,33,0,0,0,2022-06-30T13:41:53.040Z,https://kg.ebrains.eu/api/instances/90562757-7052-4532-b615-d1ef7927876d,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),36,0
Distribution of dopamine 2 receptor positive neurons in the adult female mouse brain,0,2,87,0,0,11,2022-06-30T13:34:51.144Z,https://kg.ebrains.eu/api/instances/524f9108-e513-4d0b-832a-a6c599bff676,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),89,11
Distribution of dopamine 2 receptor positive neurons in the adult male mouse brain,0,4,120,0,0,9,2022-06-30T13:34:52.342Z,https://kg.ebrains.eu/api/instances/d823d4cc-279b-4af1-a19d-babb48f6b604,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),124,9
Distribution of dopamine 2 receptor positive neurons in the juvenile female mouse brain,0,2,54,0,0,3,2022-06-30T13:42:01.417Z,https://kg.ebrains.eu/api/instances/7c033387-0d55-4a0f-9d28-ac53c1971873,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),56,3
Distribution of dopamine 2 receptor positive neurons in the juvenile male mouse brain,1,1,108,0,0,7,2022-06-30T13:42:01.201Z,https://kg.ebrains.eu/api/instances/936b878a-c67e-4faf-b66b-071f9f0c580a,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),110,7
Distribution of dopamine 2 receptor positive neurons in the late adolescent female mouse brain,1,2,62,0,0,5,2022-06-30T13:34:54.686Z,https://kg.ebrains.eu/api/instances/e8a833d1-6d1d-4412-92e9-fa10e17af4f9,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),65,5
Distribution of dopamine 2 receptor positive neurons in the late adolescent male mouse brain,1,2,131,0,0,14,2022-06-30T13:34:52.529Z,https://kg.ebrains.eu/api/instances/3befb4ef-96b4-40b2-af13-a7d1f19c403f,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),134,14
Distribution of dopamine 2 receptor positive neurons in the preadolescent female mouse brain,0,0,120,0,0,4,2022-06-30T13:42:00.606Z,https://kg.ebrains.eu/api/instances/33a53fd9-d8ae-4313-9c28-b5921e5a0fee,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),120,4
Distribution of dopamine 2 receptor positive neurons in the preadolescent male mouse brain,1,2,74,0,0,1,2022-06-30T13:42:00.206Z,https://kg.ebrains.eu/api/instances/62a21cbf-6b34-473b-a56b-d58ce34ca0e8,Map of dopamine receptor positive cell types in the developing and adult mouse brain (DOPAMAP),77,1
